solver,variant,implementation,nranks,n1,n2,n3,m,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,forward_exchange_s_max,reduced_compute_s_max,backward_exchange_s_max,update_compute_s_max,compute_s_max,communication_s_max
btdma,noncyclic,cuda-cxx,1,32,32,128,5,1024,128,128,6,10,device,0.011576402,0.011576402,0.009916652,0.000116965,7.2649e-05,2.5419e-05,0.001444508,0.011433809,0.000142384
btdma,noncyclic,cuda-cxx,1,32,32,128,5,1024,128,128,7,10,device,0.01158167,0.01158167,0.009913387,0.000115784,7.345e-05,2.6099e-05,0.00145273,0.011439567,0.000141883
btdma,noncyclic,cuda-cxx,1,32,32,128,5,1024,128,128,8,10,device,0.011588511,0.011588511,0.009933497,0.000115954,7.299e-05,2.5929e-05,0.00143994,0.011446427,0.000141883
btdma,noncyclic,cuda-cxx,1,32,32,128,5,1024,128,128,9,10,device,0.011579006,0.011579006,0.00992219,0.000116685,7.337e-05,2.5529e-05,0.001441022,0.011436582,0.000142214
btdma,noncyclic,cuda-cxx,1,32,32,128,8,1024,128,128,0,10,device,0.031017988,0.031017988,0.026308451,0.000827843,0.000257035,2.8042e-05,0.003596106,0.030161592,0.000855885
btdma,noncyclic,cuda-cxx,1,32,32,128,8,1024,128,128,1,10,device,0.028694382,0.028694382,0.024729101,0.000192338,0.000151207,2.7191e-05,0.003594014,0.028474322,0.000219529
btdma,noncyclic,cuda-cxx,1,32,32,128,8,1024,128,128,2,10,device,0.02838752,0.02838752,0.024457973,0.000179168,0.000151378,2.7301e-05,0.00357127,0.028180621,0.000206469
btdma,noncyclic,cuda-cxx,1,32,32,128,8,1024,128,128,3,10,device,0.028619679,0.028619679,0.024685876,0.000179429,0.000150226,2.8132e-05,0.003575676,0.028411778,0.000207561
btdma,noncyclic,cuda-cxx,1,32,32,128,8,1024,128,128,4,10,device,0.028495092,0.028495092,0.024534548,0.000204056,0.0001529,2.7371e-05,0.003575886,0.028263334,0.000231427
btdma,noncyclic,cuda-cxx,1,32,32,128,8,1024,128,128,5,10,device,0.0286462,0.0286462,0.024716051,0.000178858,0.000150606,2.7992e-05,0.003572381,0.028439038,0.00020685
